,x,y,type,weight
0,209,614,endpt,1.0
1,220,705,endpt,5.0
2,222,671,endpt,4.0
3,223,702,endpt,5.0990195
4,224,598,endpt,2.828427
5,225,559,endpt,9.055386
6,227,521,endpt,2.0
8,230,675,endpt,2.828427
9,235,593,endpt,6.0
10,238,489,endpt,2.0
11,238,800,endpt,2.828427
12,239,484,endpt,1.0
13,240,679,endpt,2.0
14,244,737,endpt,2.0
16,249,678,endpt,5.0
17,249,761,endpt,7.0
18,251,615,endpt,5.0
19,252,611,endpt,4.1231055
20,255,559,endpt,2.828427
21,255,1117,endpt,2.236068
23,256,804,endpt,5.0
24,257,400,endpt,6.0
25,257,916,endpt,7.0
26,258,567,endpt,2.828427
27,261,522,endpt,1.4142135
28,261,645,endpt,6.3245554
29,262,396,endpt,8.5440035
30,265,641,endpt,4.2426405
31,265,976,endpt,6.708204
32,266,1213,endpt,3.0
33,270,524,endpt,5.0
34,273,875,endpt,6.0
36,273,1097,endpt,2.236068
37,274,965,endpt,4.472136
38,275,756,endpt,3.1622777
39,276,577,endpt,1.0
40,276,924,endpt,5.0
41,278,445,endpt,6.3245554
42,278,494,endpt,5.0
43,278,1015,endpt,5.0
45,282,794,endpt,1.0
46,282,1137,endpt,4.1231055
47,283,327,endpt,2.828427
48,284,675,endpt,2.0
50,285,958,endpt,1.4142135
51,287,443,endpt,5.0
52,289,620,endpt,3.0
53,289,903,endpt,4.1231055
54,290,830,endpt,10.770329
55,293,830,endpt,10.0
56,294,423,endpt,2.236068
57,295,958,junction,7.0
59,296,967,endpt,5.3851647
60,296,1010,endpt,2.828427
61,297,328,endpt,4.472136
62,298,1182,endpt,8.0
63,299,307,endpt,2.828427
64,299,700,endpt,5.3851647
65,300,1286,endpt,2.828427
67,302,692,endpt,6.4031243
68,303,620,endpt,5.0
69,306,303,endpt,2.0
70,306,1366,endpt,3.6055512
71,307,266,endpt,2.236068
72,307,726,endpt,2.0
73,309,1137,junction,9.055386
74,310,536,endpt,4.0
75,310,1026,endpt,3.1622777
78,310,1203,endpt,4.472136
79,311,481,endpt,2.236068
80,311,724,endpt,3.0
81,311,1236,endpt,7.615773
82,312,478,endpt,3.0
83,312,1030,endpt,3.0
84,313,682,endpt,2.828427
85,314,258,endpt,3.0
87,315,894,endpt,2.0
88,316,615,endpt,1.4142135
89,317,766,endpt,2.0
90,318,860,endpt,9.486833
91,320,757,endpt,2.0
92,322,821,endpt,1.0
93,322,858,junction,10.630146
95,322,1189,junction,7.0
97,323,1290,endpt,4.0
98,324,441,endpt,3.0
99,324,843,endpt,3.0
101,325,673,endpt,4.1231055
102,326,772,endpt,4.472136
103,326,1040,endpt,8.062258
104,327,555,endpt,7.0
105,327,906,junction,12.0
106,328,802,endpt,2.0
107,328,1173,junction,9.055386
109,329,372,endpt,5.0
111,330,666,endpt,4.1231055
112,332,1044,junction,10.0
113,332,1252,endpt,2.0
116,335,1114,junction,8.246211
118,336,472,endpt,4.472136
121,339,936,endpt,6.3245554
122,339,1220,endpt,10.29563
123,340,1205,junction,7.0
126,342,1330,endpt,4.0
127,343,737,endpt,3.0
128,343,1182,junction,8.0
129,343,1217,junction,10.198039
130,350,258,endpt,4.1231055
131,350,1051,endpt,3.1622777
132,350,1120,junction,10.198039
134,351,296,endpt,3.1622777
135,353,986,junction,11.0
136,354,1322,endpt,2.828427
137,354,1472,endpt,4.0
138,355,288,endpt,5.0
139,356,1228,endpt,2.828427
140,356,1492,endpt,3.1622777
142,358,643,endpt,6.0
143,359,763,endpt,3.1622777
144,359,819,endpt,4.0
145,359,921,endpt,6.0
146,360,216,endpt,5.3851647
147,361,586,endpt,2.0
148,361,1357,endpt,8.0
149,362,1080,endpt,2.0
150,362,1247,endpt,1.0
151,362,1529,endpt,3.0
152,363,1320,endpt,4.0
153,364,404,endpt,2.0
155,368,215,endpt,3.1622777
156,368,769,junction,9.0
157,370,812,junction,10.049875
158,370,1014,junction,14.035668
159,370,1163,junction,12.0415945
160,372,758,junction,11.0
161,376,1392,endpt,5.3851647
162,377,817,junction,12.529964
165,378,825,endpt,6.708204
166,378,1231,junction,11.0
167,380,1395,endpt,5.0990195
168,381,684,endpt,7.615773
169,381,747,endpt,7.2111025
170,381,871,junction,17.117243
171,382,525,endpt,3.1622777
172,384,1165,junction,14.035668
173,385,1347,junction,8.0
174,386,416,endpt,3.1622777
175,386,1549,endpt,3.0
178,390,681,endpt,5.0
179,391,1377,endpt,4.0
180,393,504,endpt,5.0
181,393,1017,junction,11.0
182,393,1295,junction,11.18034
183,394,431,endpt,2.0
186,394,1191,junction,14.035668
190,395,614,endpt,1.0
191,395,897,junction,10.440307
196,398,1121,junction,15.132746
197,399,1024,junction,10.198039
199,399,1159,junction,11.0
201,400,1045,junction,12.369317
204,402,197,endpt,5.0
205,403,605,endpt,5.3851647
206,403,1072,endpt,2.0
207,404,1075,endpt,3.0
208,404,1146,junction,14.035668
210,404,1191,junction,14.866069
211,405,651,endpt,3.1622777
213,406,1368,endpt,2.236068
214,407,1428,endpt,4.0
215,408,1373,endpt,2.0
216,409,189,endpt,5.0
217,409,564,endpt,3.0
218,409,823,endpt,9.055386
219,409,888,endpt,2.828427
220,410,466,endpt,4.0
221,410,984,junction,16.27882
222,410,1488,endpt,4.472136
223,411,463,endpt,5.0
224,411,993,junction,15.132746
227,414,917,junction,14.0
230,415,1267,junction,19.0
231,416,1471,endpt,3.1622777
232,418,688,endpt,2.828427
233,418,1195,junction,12.649111
235,419,1104,junction,18.110771
238,420,1012,junction,8.0
241,420,1266,junction,20.615528
242,422,647,endpt,4.0
243,424,1238,junction,15.811388
245,425,760,endpt,2.0
247,425,1444,endpt,7.0
248,427,863,endpt,4.1231055
249,429,724,endpt,5.0
250,429,1350,endpt,10.440307
251,430,812,endpt,4.0
252,430,934,junction,9.0
253,431,719,endpt,5.8309517
254,432,1436,endpt,2.828427
255,434,912,junction,9.486833
256,434,1276,junction,14.866069
259,435,1071,junction,13.341664
264,437,892,endpt,8.944272
265,437,1125,junction,10.816654
267,437,1130,junction,9.055386
268,437,1600,endpt,3.6055512
269,438,809,endpt,2.0
272,439,761,endpt,2.0
273,439,1019,endpt,3.0
274,439,1185,junction,7.0
277,441,1413,junction,12.369317
278,446,173,endpt,3.6055512
279,446,501,endpt,3.1622777
280,448,543,endpt,3.0
281,448,1324,junction,11.401754
282,448,1427,endpt,6.3245554
283,449,993,endpt,6.0
284,450,168,endpt,4.1231055
285,450,1301,junction,10.440307
288,451,1469,endpt,4.0
290,454,847,endpt,8.0
291,454,850,endpt,7.071068
292,455,982,endpt,7.0
293,455,1228,junction,10.198039
294,456,505,endpt,3.0
295,458,1388,junction,16.0
296,459,1155,junction,11.0
299,464,1263,junction,10.0
300,465,947,endpt,3.6055512
301,466,1209,junction,9.486833
302,467,1241,junction,10.770329
304,467,1496,endpt,2.0
306,469,1036,endpt,5.3851647
308,470,1033,endpt,5.3851647
309,470,1192,endpt,6.708204
312,471,221,endpt,3.6055512
314,471,1208,junction,10.0
315,471,1268,junction,7.615773
317,471,1565,endpt,5.0
318,472,472,endpt,4.1231055
320,473,1296,junction,12.529964
321,474,940,junction,5.0990195
324,474,1362,junction,17.0
325,475,1323,junction,5.8309517
326,475,1562,endpt,5.0
327,476,434,endpt,3.0
328,477,755,endpt,3.6055512
329,477,1299,junction,11.0
333,479,437,endpt,2.828427
334,480,916,endpt,4.472136
335,482,944,endpt,3.0
336,483,149,endpt,2.828427
338,484,1070,endpt,5.0
339,484,1179,endpt,3.6055512
340,484,1270,endpt,2.0
344,489,1440,endpt,2.0
345,489,1498,endpt,5.8309517
346,490,159,endpt,1.0
347,490,1180,junction,7.071068
348,491,1142,endpt,4.0
349,491,1225,junction,8.944272
352,493,1075,endpt,6.0
354,494,986,endpt,3.1622777
355,494,1202,junction,10.29563
357,495,972,endpt,4.0
360,495,1312,endpt,5.0
364,499,1022,endpt,5.0
365,499,1266,endpt,4.472136
366,499,1371,junction,10.0
367,499,1411,junction,13.416408
370,501,161,endpt,3.0
371,501,963,endpt,4.0
372,502,869,endpt,5.0
373,503,1036,endpt,3.1622777
374,504,1290,endpt,2.236068
375,505,1442,junction,11.401754
376,506,151,endpt,1.4142135
377,507,1422,junction,13.892444
379,508,1167,endpt,4.0
380,508,1231,endpt,1.0
382,509,1484,junction,6.0
383,510,865,endpt,2.828427
384,510,1112,endpt,2.0
385,513,1279,junction,5.0
386,513,1484,endpt,5.0990195
387,514,1340,endpt,2.0
388,518,1191,endpt,3.0
389,518,1314,endpt,7.0
390,519,841,endpt,3.0
392,519,1085,endpt,2.236068
393,519,1578,endpt,5.0
394,520,882,endpt,2.236068
395,521,1036,endpt,2.0
398,522,1352,junction,8.246211
400,524,1001,endpt,2.828427
401,524,1282,junction,5.656854
402,524,1400,endpt,4.472136
405,528,1270,endpt,1.4142135
406,528,1420,junction,11.401754
407,530,1410,junction,9.486833
409,531,1003,endpt,3.1622777
411,532,1174,endpt,2.0
412,532,1252,endpt,6.708204
413,532,1426,junction,10.0
414,533,1263,endpt,3.0
416,534,1545,endpt,4.1231055
417,535,1111,endpt,3.6055512
418,535,1294,junction,7.0
421,536,1379,endpt,2.828427
422,539,1487,endpt,4.0
423,540,1204,endpt,2.828427
425,542,1440,junction,6.0
426,542,1461,endpt,3.0
429,545,1141,endpt,2.828427
430,546,1333,endpt,3.6055512
431,547,1228,endpt,7.0
