,x,y,type,weight
265,505,1225,endpt,6.3245554
266,506,787,endpt,3.0
267,508,802,endpt,3.6055512
268,508,1144,endpt,4.1231055
269,509,576,junction,7.2111025
271,510,591,endpt,5.0990195
272,511,561,endpt,4.1231055
273,515,659,endpt,2.0
274,515,744,endpt,2.0
275,515,872,endpt,2.236068
276,516,691,endpt,4.0
278,517,695,endpt,4.1231055
279,517,1070,endpt,2.236068
280,518,1081,endpt,2.236068
281,518,1336,endpt,6.0
282,519,885,endpt,2.0
283,519,1065,endpt,2.0
284,520,639,endpt,2.0
286,520,731,endpt,1.0
287,520,849,endpt,2.0
288,520,1160,endpt,1.0
289,521,728,endpt,2.0
291,522,613,endpt,4.1231055
292,523,514,endpt,2.0
294,525,772,endpt,3.1622777
296,525,1265,junction,7.2111025
297,526,784,endpt,2.236068
300,528,616,junction,7.071068
301,528,1124,endpt,3.0
303,530,756,endpt,1.0
304,531,607,endpt,2.0
305,531,759,endpt,2.0
306,531,822,endpt,4.0
307,531,966,endpt,2.0
309,532,1137,endpt,3.6055512
310,533,680,endpt,4.0
311,533,716,endpt,5.8309517
312,534,905,endpt,3.0
313,535,1269,endpt,1.0
314,535,1290,endpt,4.472136
315,536,716,junction,6.708204
318,538,913,endpt,1.4142135
319,538,1305,endpt,3.0
320,540,708,endpt,4.1231055
321,540,1128,endpt,2.828427
322,541,830,endpt,3.0
323,541,925,endpt,5.3851647
324,542,1027,endpt,2.0
325,542,1198,endpt,5.8309517
326,542,1208,junction,6.4031243
328,543,551,endpt,5.0
331,544,1058,endpt,1.0
332,544,1088,endpt,2.0
333,545,638,endpt,3.0
334,545,1336,endpt,3.1622777
335,546,553,endpt,3.6055512
336,546,641,endpt,3.1622777
338,546,1130,junction,4.472136
339,546,1139,endpt,4.0
340,547,576,endpt,5.0
341,547,799,junction,5.0
345,547,1394,endpt,2.0
347,549,790,endpt,2.0
348,549,1061,endpt,2.828427
349,549,1238,endpt,6.0
350,552,948,endpt,2.0
351,552,1121,endpt,2.0
352,552,1183,endpt,4.1231055
353,553,734,endpt,4.0
354,554,584,endpt,4.0
355,554,808,endpt,4.0
356,554,1097,endpt,5.0
357,554,1101,endpt,5.0
358,554,1253,endpt,2.236068
359,555,948,endpt,1.0
360,556,1071,endpt,3.0
361,557,660,endpt,6.708204
362,557,1250,endpt,2.828427
363,558,510,endpt,2.828427
364,558,716,endpt,3.0
365,558,771,endpt,5.0
366,558,1424,endpt,2.828427
367,559,1278,endpt,6.0
369,560,1173,junction,6.0827627
371,560,1305,junction,7.0
375,561,1353,endpt,5.3851647
376,562,719,endpt,3.0
377,563,1276,junction,7.0
378,564,1153,endpt,3.1622777
379,565,1075,endpt,3.6055512
380,565,1159,junction,4.472136
382,566,1054,endpt,5.0
384,566,1266,endpt,5.3851647
385,567,1174,junction,7.2111025
386,568,1317,junction,8.0
387,569,751,endpt,2.0
388,569,948,endpt,1.4142135
389,569,952,endpt,2.0
390,569,1168,junction,6.3245554
392,569,1190,endpt,2.0
393,569,1332,endpt,3.1622777
395,570,1038,endpt,4.0
397,570,1084,endpt,2.0
398,570,1110,endpt,4.0
400,570,1301,endpt,1.0
401,570,1391,endpt,3.0
402,570,1394,endpt,3.0
403,571,631,endpt,2.236068
404,571,773,endpt,3.1622777
405,571,837,endpt,2.828427
406,571,908,endpt,2.236068
410,573,721,endpt,2.0
412,574,803,endpt,3.6055512
414,574,1238,endpt,2.828427
415,574,1286,endpt,5.0
416,575,613,endpt,1.4142135
417,577,729,endpt,2.0
418,579,1056,junction,8.0
421,580,1133,endpt,2.828427
422,581,1210,endpt,4.472136
423,581,1243,endpt,1.0
424,582,611,endpt,3.1622777
425,582,692,endpt,3.0
426,585,1185,endpt,5.3851647
427,585,1409,endpt,2.236068
428,586,1047,endpt,2.236068
429,587,738,endpt,3.0
431,587,1174,junction,6.0
433,587,1324,junction,5.0
434,588,759,endpt,2.828427
437,588,1258,endpt,5.3851647
439,590,1104,endpt,2.0
441,591,1272,endpt,3.0
442,592,1234,endpt,6.3245554
443,595,1078,endpt,4.472136
444,595,1277,junction,6.0
448,598,1064,endpt,2.0
449,598,1288,junction,6.0
450,598,1427,endpt,5.0990195
451,601,1228,endpt,2.0
452,601,1272,endpt,2.0
453,602,560,endpt,3.1622777
455,603,1305,junction,4.472136
458,605,1139,endpt,3.1622777
459,605,1152,endpt,2.0
460,607,1202,endpt,3.6055512
461,608,1159,junction,4.472136
462,611,1356,endpt,7.0
463,612,1120,endpt,5.0
464,612,1128,endpt,4.0
465,612,1191,endpt,2.0
466,612,1324,endpt,3.0
469,612,1400,junction,10.198039
470,613,815,endpt,3.1622777
473,614,818,endpt,3.0
474,614,1283,junction,4.2426405
475,617,1277,endpt,2.0
476,618,1157,endpt,4.0
477,620,1215,endpt,4.0
478,620,1261,endpt,3.0
479,621,1234,endpt,3.6055512
481,622,1131,endpt,1.0
482,622,1291,junction,7.0
486,624,1447,endpt,3.1622777
487,625,1412,junction,5.0
491,629,1149,endpt,5.0
492,629,1391,junction,8.246211
494,632,1165,endpt,2.0
495,632,1175,endpt,1.0
496,634,1170,junction,3.0
499,635,1329,junction,10.0
500,637,1244,endpt,8.5440035
501,639,1172,endpt,2.828427
502,642,1111,endpt,2.828427
503,643,1212,junction,4.1231055
504,643,1233,junction,11.401754
505,644,1144,endpt,2.236068
508,644,1286,endpt,1.4142135
509,645,1260,endpt,4.1231055
510,648,1207,endpt,3.1622777
511,649,1154,endpt,2.0
512,652,1453,endpt,4.1231055
513,652,1457,endpt,5.8309517
514,653,1434,endpt,2.0
516,655,1212,endpt,3.0
517,655,1268,endpt,3.6055512
518,656,1178,endpt,3.6055512
520,656,1241,endpt,5.3851647
521,656,1291,endpt,3.0
522,659,1199,endpt,4.0
524,661,1367,junction,4.1231055
525,661,1388,junction,7.28011
530,665,1310,endpt,4.0
531,665,1380,junction,5.0990195
